Cluster,fequency,recency,reordered_0,reordered_1,total_line,Number_Cluster
0,22.9865270167585,9.51496147056619,95.7051752059449,135.810610426666,245.437618381873,Clusters_2
1,6.37147194459924,14.061044225586,27.5318535235067,10.9400614751154,43.8634261891404,Clusters_2
0,5.4319259987975,16.5131782011267,18.9173095687297,7.55208620574463,29.0656364174743,Clusters_5
1,7.00997755295235,6.26336790418778,30.5442493995443,17.6984876681383,53.1864395884013,Clusters_5
2,11.1899974782382,14.8996542683965,62.4425806838745,48.3893952492138,117.306976142145,Clusters_5
3,3.79995250954771,13.4087213576862,13.8782530562965,0.0001,13.8782530562965,Clusters_5
4,35.3317345909014,7.52786384399814,121.972537990728,239.590382039858,377.284325419839,Clusters_5
0,5.82858216060295,16.4928786660993,31.8492127939399,11.8820996539478,46.8511666186507,Clusters_8
1,22.2452688307174,11.4133262697057,109.933332704871,149.954791148405,269.634109862083,Clusters_8
2,51.0238893452441,5.75711151554623,148.657825854755,373.067315813277,539.368881269613,Clusters_8
3,5.23260824157219,16.1243630849913,9.44150173833759,4.78605142794799,16.0057743190814,Clusters_8
4,9.95728232930686,16.428911462175,64.3997380440261,44.90067921872,114.294522935344,Clusters_8
5,5.2074556448139,5.63366927498604,24.9822111429841,10.425089925538,38.3635587877233,Clusters_8
6,3.79995250954771,13.4087213576862,13.8782530562965,0.0001,13.8782530562965,Clusters_8
7,15.9710966766891,8.10593577451787,44.2179174181905,55.225083474536,106.914421552307,Clusters_8
